question,p_f,p_ref,y
0750nMx1Fqq4CWdoBHdX,0.09661066444025765,0.096586061373108,0.0
0m2HGw8Pd4ZTIgga0Pzv,0.13716081705825242,0.13118590630808302,0.0
0x0784ce77446e73c456f7ea8216108ce3a2673488aba71afdaadb0939324b4c59,0.02,0.0175,0.0
0x122678509891ed9fe0b9ad7ff7a71a1a36aad334d9eae2d5421648b511371df1,0.22068816322485454,0.23850000000000002,1.0
0x154efa11ed56deca4d0d06adf2bb711a420f5128f2a274be0d6631ed4380ca78,0.4709065842965655,0.48,1.0
0x2c1d8f3388f56e1641a57eec4d7645cb1dccb42054cf0d6aacc7e353d778b4f1,0.7151670689000708,0.735,1.0
0x31a5dcf98ab184ef2c167c7daaca2155242d61f841cb9ac9615f1e03c77b7732,0.5462028720519488,0.545,0.0
0x438883974dfc3b261a0826c47f3f54329e9632314f85e5950b85f57d9e490363,0.05230430491109067,0.025500000000000002,0.0
0x4ac4849343a847d75cff15174a139ef9c4bc89bdb8c8bcdd7bee61204912d549,0.2951558696289734,0.305,0.0
0x573dfc705c8f4250064b3ad30d2cc43397f16c9fc5b343473c860bbd04d7a3ca,0.0625905020036012,0.075,1.0
0x5cd8bb97af43191779906af4e624fd87eb2a07bcdb19a22b8f0943cc20dca848,0.020796841003703964,0.011,0.0
0x60752c2a562d7faff00a82238520a13a9a5a5ee2927afd397d224dc54361afd6,0.9471377401632013,0.9400000000000001,1.0
0x63634b4e14297a748923f86dca4fa0c6c659db0f5fadeeb8e419e48e20759c34,0.02,0.006500000000000001,0.0
0x7e912d337aec54d321a4d415bd05e5a6676c3f04617f07def1281be7e0af3e91,0.02,0.008,0.0
0x81bb9ebd9312790810d3d40ee6545d97a8cbaee3233959b3e2bb4c37604e5e82,0.08441496355073454,0.085,0.0
0xa05e93dbcfefc56ee0ab0151512dccaae63840650eaae9ed8a89d5dcbe238f22,0.9639060638891658,0.9500000000000001,1.0
0xa4855d0b28960be4824c31c280d274572e176313d8efda21446cabe6bdc32efc,0.30311570905429835,0.33,0.0
0xa8b22d7d3402b9823aca8ba68fa9beee749049bf67b8efa0935fcb8963d5d357,0.02,0.021500000000000002,0.0
0xb3a14c854a91cc1d57bb4ed3ce1f74a1c3a08b9d6316f30874bda08e90fa663e,0.02,0.005,0.0
0xc8081f7c63082b34b1b2497f339c291e00587e8800b48db8096fbe763c2be31c,0.6542092452043006,0.68,0.0
0xd9773233f3dd345b0cf99b4338e9663dee025c76bcdae2d8f11efb4327a3566d,0.02,0.033,0.0
0xea3b3876ef2d1777f4320c79e9fb08cd4dbea4f174403995b8884f34aa5d76c9,0.02,0.02,0.0
0xf5875410202b3545491774ab5e712a6e05a0ffe780c52270cc8d70cc95164411,0.38965107037112595,0.41500000000000004,0.0
0xfe495172d67c0bd95c8c62b9a9f9815b6e35d9653e5a1f4f8c1abb051e4f3638,0.02,0.01,0.0
0yVJeShTMcm0FA8UrcCL,0.5855708728965765,0.582435851164092,0.0
1285,0.02,0.018600000000000002,0.0
1286,0.02,0.0317,0.0
1342,0.02,0.0108,0.0
1353,0.5047299810919786,0.5057,0.0
1363,0.022366179720066152,0.0201,0.0
1373,0.7240972846898922,0.7547,0.0
1374,0.7588449344793214,0.7684000000000001,1.0
1386,0.5893296184388672,0.6089,0.0
1399,0.954823255211488,0.971,1.0
1413,0.027317972467721576,0.0061,0.0
17179,0.02,0.02,0.0
17180,0.28934956590108957,0.29,0.0
17432,0.02768779734766348,0.01,0.0
20895,0.19832799134513396,0.21,0.0
21114,0.09676596100831682,0.099,0.0
2577,0.02,0.01,0.0
2ZLAoe3EAFVhcFAXXfPp,0.15205900913516524,0.150783373650064,0.0
4puVWhIkvQiHnTxbH4NL,0.9112800599194443,0.9357811764477981,0.0
6427,0.49352280460754017,0.492,1.0
7444,0.5071764684348308,0.48,1.0
7664,0.7690571064374304,0.8,1.0
HFuD5HPpd2ZR9gLk6nhj,0.06133739447367597,0.044149740713244005,0.0
KCFbp1TH0RYN4j5zYdmh,0.6482812946050888,0.6458942140911571,1.0
KtGRsTouYWiDPaPhRC3o,0.12019410753207158,0.133023515414216,0.0
PNVVTlruggno0Yw5tjVS,0.5567026974094235,0.516694366482575,1.0
TPkEjiNb1wVCIGFnPcDD,0.7718076427959903,0.7565624485542961,1.0
VB1RhUVlnNfhclAh4LvR,0.8554676584119106,0.8794534364540151,1.0
iPG19DGNrWEkbUBjfk6L,0.2326293208532663,0.23113899627783702,0.0
iokMHn6kkmntt9E0aHHz,0.8199570180635258,0.8084232263901221,0.0
lFx5LHHUTgHnQPquiOMs,0.05558602676914002,0.05936166927615501,0.0
taYZcNp99aWqZLI2nq9v,0.09815087995719213,0.08449267461328801,0.0
